# Verification of campaign reproduction: archived value vs re-fit under 3d7f883,
# env/Manifest.toml (MathOptInterface 1.48.0), seeded sample, seed 20260828.
# Produced by scripts/verify_reproduction.jl. See REPRODUCE.md section 3.
freq,braco,series,smape_gravado,smape_refeito,delta,ordem_gravada,ordem_refeita,status
weekly,testes,35,38.3708,38.3708,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,testes,26,24.8446,24.8446,0.0,"2,1,3,0,0,0","2,1,3,0,0,0","OK"
weekly,testes,115,2.8017,2.8017,0.0,"4,1,0,0,0,0","4,1,0,0,0,0","OK"
weekly,testes,345,11.8381,11.8381,0.0,"0,1,3,0,0,0","0,1,3,0,0,0","OK"
weekly,testes,84,1.3142,1.3142,0.0,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
weekly,testes,25,29.347,29.347,0.0,"1,0,2,0,0,0","1,0,2,0,0,0","OK"
weekly,testes,41,1.8098,1.8098,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
weekly,testes,295,11.1841,11.1841,0.0,"0,1,2,0,0,0","0,1,2,0,0,0","OK"
weekly,testes,44,1.9338,1.9338,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,testes,236,13.9704,13.9704,0.0,"3,1,3,0,0,0","3,1,3,0,0,0","OK"
weekly,testes,241,19.2679,19.2679,0.0,"3,1,3,0,0,0","3,1,3,0,0,0","OK"
weekly,testes,4,15.4271,15.4271,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,testes,281,5.6765,5.6765,0.0,"4,1,3,0,0,0","4,1,3,0,0,0","OK"
weekly,testes,60,3.845,3.845,0.0,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
weekly,testes,27,25.5461,25.5461,0.0,"2,1,3,0,0,0","2,1,3,0,0,0","OK"
weekly,testes,332,11.576,11.576,0.0,"0,1,2,0,0,0","0,1,2,0,0,0","OK"
weekly,req+testes,240,21.1689,21.1689,0.0,"1,1,0,0,0,0","1,1,0,0,0,0","OK"
weekly,req+testes,73,5.9009,5.9009,0.0,"2,1,0,0,0,0","2,1,0,0,0,0","OK"
weekly,req+testes,218,2.9212,2.9212,0.0,"3,1,1,0,0,0","3,1,1,0,0,0","OK"
weekly,req+testes,142,1.3269,1.3269,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
weekly,req+testes,266,7.0591,7.0591,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
weekly,req+testes,199,15.0666,15.0666,0.0,"2,1,1,0,0,0","2,1,1,0,0,0","OK"
weekly,req+testes,134,0.3644,0.3644,0.0,"3,2,2,0,0,0","3,2,2,0,0,0","OK"
weekly,req+testes,185,0.4326,0.4326,0.0,"5,2,1,0,0,0","5,2,1,0,0,0","OK"
weekly,req+testes,40,1.875,1.875,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
weekly,req+testes,250,2.1276,2.1276,0.0,"2,2,2,0,0,0","2,2,2,0,0,0","OK"
weekly,req+testes,310,16.0487,16.0487,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
weekly,req+testes,206,10.6787,10.6787,0.0,"1,1,3,0,0,0","1,1,3,0,0,0","OK"
weekly,req+testes,175,0.5077,0.5077,0.0,"1,2,4,0,0,0","1,2,4,0,0,0","OK"
weekly,req+testes,183,2.0099,2.0099,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
weekly,req+testes,144,15.5203,15.5203,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,req+testes,103,2.9389,2.9389,0.0,"5,1,1,0,0,0","5,1,1,0,0,0","OK"
weekly,req+testes,101,0.5268,0.5268,0.0,"2,1,1,0,0,0","2,1,1,0,0,0","OK"
weekly,req+testes,163,1.5819,1.5819,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
weekly,req+testes,77,13.6986,13.6986,0.0,"1,1,5,0,0,0","1,1,5,0,0,0","OK"
weekly,req+testes,327,11.9899,11.9899,0.0,"1,0,1,0,0,0","1,0,1,0,0,0","OK"
weekly,req+testes,43,1.8083,1.8083,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
weekly,req+testes,291,6.0729,6.0729,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
weekly,req+testes,162,0.9399,0.9399,0.0,"2,2,2,0,0,0","2,2,2,0,0,0","OK"
weekly,req+testes,359,14.4752,14.4752,0.0,"1,0,1,0,0,0","1,0,1,0,0,0","OK"
weekly,req+testes,347,11.6363,11.6363,0.0,"1,0,4,0,0,0","1,0,4,0,0,0","OK"
