# Verification of campaign reproduction: archived value vs re-fit under 3d7f883,
# env/Manifest.toml (MathOptInterface 1.48.0), seeded sample, seed 20260828.
# Produced by scripts/verify_reproduction.jl. See REPRODUCE.md section 3.
freq,braco,series,smape_gravado,smape_refeito,delta,ordem_gravada,ordem_refeita,status
monthly,ridge,18644,24.6108,24.6108,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,ridge,20241,44.6915,44.6915,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
monthly,ridge,18114,51.3116,51.3116,0.0,"0,2,1,0,0,0","0,2,1,0,0,0","OK"
monthly,ridge,27144,10.7749,10.7749,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,ridge,27081,13.5746,13.5746,0.0,"2,0,0,0,0,0","2,0,0,0,0,0","OK"
monthly,ridge,18509,31.1826,31.1826,0.0,"1,1,0,1,0,0","1,1,0,1,0,0","OK"
monthly,ridge,3194,1.9414,1.9414,0.0,"1,2,1,0,0,0","1,2,1,0,0,0","OK"
monthly,ridge,18090,31.2488,31.2488,0.0,"2,0,1,1,1,0","2,0,1,1,1,0","OK"
monthly,ridge,314,1.6385,1.6385,0.0,"1,0,1,1,0,0","1,0,1,1,0,0","OK"
monthly,ridge,20995,2.6672,2.6672,0.0,"2,0,1,2,1,0","2,0,1,2,1,0","OK"
monthly,ridge,22855,0.8547,0.8547,0.0,"0,1,1,0,1,1","0,1,1,0,1,1","OK"
monthly,ridge,40457,11.2254,11.2254,0.0,"1,2,1,2,0,0","1,2,1,2,0,0","OK"
monthly,ridge,33755,24.2918,24.2918,0.0,"1,1,0,2,0,0","1,1,0,2,0,0","OK"
monthly,ridge,41726,10.4156,10.4156,0.0,"1,1,3,2,0,0","1,1,3,2,0,0","OK"
monthly,ridge,47180,42.999,42.999,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,ridge,9456,14.2593,14.2593,0.0,"1,1,1,0,0,0","1,1,1,0,0,0","OK"
monthly,ridge,29402,2.8612,2.8612,0.0,"0,1,0,1,0,0","0,1,0,1,0,0","OK"
monthly,ridge,8794,61.1282,61.1282,0.0,"0,1,0,1,1,0","0,1,0,1,1,0","OK"
monthly,ridge,16961,2.6367,2.6367,0.0,"0,1,0,0,1,1","0,1,0,0,1,1","OK"
monthly,ridge,37009,9.395,9.395,0.0,"0,2,1,0,0,0","0,2,1,0,0,0","OK"
monthly,mae,31101,15.1667,15.1667,0.0,"0,1,1,1,0,0","0,1,1,1,0,0","OK"
monthly,mae,19633,20.8736,20.8736,0.0,"2,1,2,0,0,0","2,1,2,0,0,0","OK"
monthly,mae,34426,13.3527,13.3527,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,mae,11838,1.0732,1.0732,0.0,"1,0,3,1,1,1","1,0,3,1,1,1","OK"
monthly,mae,36085,3.1612,3.1612,0.0,"0,0,0,1,0,0","0,0,0,1,0,0","OK"
monthly,mae,4260,10.8344,10.8344,0.0,"1,1,1,0,0,2","1,1,1,0,0,2","OK"
monthly,mae,30205,2.1969,2.1969,0.0,"2,1,0,1,0,0","2,1,0,1,0,0","OK"
monthly,mae,19445,16.0807,16.0807,0.0,"1,1,2,2,0,1","1,1,2,2,0,1","OK"
monthly,mae,27806,11.1779,11.1779,0.0,"1,1,1,0,0,1","1,1,1,0,0,1","OK"
monthly,mae,20530,27.131,27.131,0.0,"0,1,3,0,0,0","0,1,3,0,0,0","OK"
monthly,mae,21583,6.1127,6.1127,0.0,"2,1,1,1,0,1","2,1,1,1,0,1","OK"
monthly,mae,15682,1.292,1.292,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,mae,44812,21.4073,21.4073,0.0,"0,1,1,0,0,1","0,1,1,0,0,1","OK"
monthly,mae,10738,1.8331,1.8331,0.0,"0,1,1,1,0,0","0,1,1,1,0,0","OK"
monthly,mae,36393,13.9454,13.9454,0.0,"1,2,2,0,0,0","1,2,2,0,0,0","OK"
monthly,mae,6241,9.9396,9.9396,0.0,"1,1,0,0,0,1","1,1,0,0,0,1","OK"
monthly,mae,27255,0.564,0.564,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,mae,836,0.49,0.49,0.0,"2,1,1,2,1,1","2,1,1,2,1,1","OK"
monthly,mae,20167,26.2171,26.2171,0.0,"0,2,4,1,0,0","0,2,4,1,0,0","OK"
monthly,mae,32518,7.3246,7.3246,0.0,"0,1,4,0,0,0","0,1,4,0,0,0","OK"
monthly,mae,22105,1.6524,1.6524,0.0,"0,1,0,2,0,1","0,1,0,2,0,1","OK"
monthly,mae,41441,11.5472,11.5472,0.0,"1,1,1,1,0,0","1,1,1,1,0,0","OK"
monthly,mae,8190,13.6477,13.6477,0.0,"0,1,1,0,0,1","0,1,1,0,0,1","OK"
monthly,mae,47461,20.1999,20.1999,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,mae,41721,6.4887,6.4887,0.0,"0,0,2,0,1,1","0,0,2,0,1,1","OK"
monthly,huber,43987,51.7642,51.7642,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,huber,19346,36.1906,36.1906,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,huber,41441,12.1282,12.1282,0.0,"1,1,2,0,0,1","1,1,2,0,0,1","OK"
monthly,huber,17586,16.4453,16.4453,0.0,"1,0,0,2,1,0","1,0,0,2,1,0","OK"
monthly,huber,5684,2.7699,2.7699,0.0,"1,1,1,2,0,0","1,1,1,2,0,0","OK"
monthly,huber,11342,1.3963,1.3963,0.0,"1,0,0,0,0,0","1,0,0,0,0,0","OK"
monthly,huber,22876,2.0622,2.0622,0.0,"2,0,0,2,1,0","2,0,0,2,1,0","OK"
monthly,huber,44299,0.6302,0.6302,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,huber,27462,8.3967,8.3967,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,huber,38425,0.6602,0.6602,0.0,"0,1,1,0,1,2","0,1,1,0,1,2","OK"
monthly,huber,19102,29.9526,29.9526,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,huber,31164,12.6992,12.6992,0.0,"4,0,3,1,1,2","4,0,3,1,1,2","OK"
monthly,huber,36965,0.9255,0.9255,0.0,"2,0,2,0,1,0","2,0,2,0,1,0","OK"
monthly,huber,30631,2.765,2.765,0.0,"2,1,0,0,0,0","2,1,0,0,0,0","OK"
