# provenance: campaign=E sarimax_commit=aa68d57 sarimax_tree=clean julia=1.9.4 platform=Windows-x86_64 source_file=eixos_weekly.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: celula,freq,series,p,d,q,P,D,Q,smape,mase,tempo,status
cell,freq,series,p,d,q,P,D,Q,smape,mase,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
"base","weekly",28,1,0,0,0,0,0,43.362,1.5383,1.74,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",29,2,1,2,0,0,0,31.5768,1.226,7.38,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",30,2,1,3,0,0,0,18.5318,1.2145,13.16,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",31,3,1,2,0,0,0,37.7879,1.887,7.17,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",32,4,1,3,0,0,0,30.1167,1.7575,10.92,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",33,1,1,1,0,0,0,19.7763,1.4548,5.67,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",34,4,1,3,0,0,0,31.7585,2.2687,18.21,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",35,2,1,2,0,0,0,38.3708,1.6491,6.81,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",36,4,1,2,0,0,0,15.2676,1.9883,6.97,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",37,3,1,3,0,0,0,1.6905,2.7173,3.44,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",38,0,1,0,0,0,0,1.9164,1.618,0.35,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",39,1,1,2,0,0,0,1.6722,3.5835,4.6,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",40,1,1,1,0,0,0,1.875,4.1315,4.72,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",41,0,1,0,0,0,0,1.8098,1.4975,0.87,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",42,0,1,0,0,0,0,1.8069,1.4775,0.74,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",43,0,1,0,0,0,0,1.8083,1.4992,0.56,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",44,1,1,1,0,0,0,1.9338,4.2691,4.2,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",45,2,1,2,0,0,0,4.2461,6.186,5.14,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",46,2,1,2,0,0,0,5.2553,4.2792,3.56,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",47,2,1,2,0,0,0,4.2332,6.166,5.15,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",48,2,1,2,0,0,0,2.0049,2.8204,5.25,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",49,2,1,2,0,0,0,3.048,2.5453,3.63,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",50,2,1,2,0,0,0,3.0401,2.5382,3.74,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",51,0,1,0,0,0,0,1.5812,1.7945,0.73,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",52,0,1,0,0,0,0,1.7058,1.3988,0.62,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",53,5,1,1,0,0,0,6.3932,0.6938,4.07,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",54,1,2,1,0,0,0,0.914,0.4829,1.79,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",55,3,1,3,0,0,0,4.5848,1.7412,12.12,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",56,1,1,1,0,0,0,7.2008,3.1943,2.38,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",57,2,0,1,0,0,0,11.7157,3.8847,1.25,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",58,5,1,0,0,0,0,7.5905,3.3055,1.54,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",59,1,1,1,0,0,0,14.8968,0.6387,1.72,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",60,1,1,0,0,0,0,3.845,6.296,3.59,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",61,5,2,0,0,0,0,4.9065,4.2638,2.38,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
"base","weekly",62,2,1,2,0,0,0,2.61,3.0207,13.91,"OK","E","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_weekly.csv"
