# provenance: campaign=B sarimax_commit=not_recorded sarimax_tree=not_recorded julia=not_recorded platform=Windows-x86_64 source_file=objetivos_penal.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: series,T,celula,p,d,q,P,D,Q,smape,mase,max_coef,prev_neg,tempo,status
series,T,cell,p,d,q,P,D,Q,smape,mase,max_coef,forecast_negative,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
7681,104,"mae_pen",2,1,2,0,0,0,30.2186,1.1724,1.8001,0,12.18,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
38447,306,"huber_pen",0,1,1,2,1,0,0.8147,0.4237,0.4344,0,236.18,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
35611,134,"ridge_pen",1,1,0,0,0,2,4.9703,0.9148,0.2152,0,4.65,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
17371,69,"ridge_pen",2,1,1,0,0,1,3.9009,0.1469,0.828,0,4.67,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
14202,292,"huber_pen",0,1,1,0,0,0,7.2306,0.6913,0.1267,0,248.1,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
25191,202,"mae_pen",1,1,0,2,0,2,18.4604,2.125,0.4685,0,42.76,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
18114,69,"huber_pen",0,2,1,0,0,0,53.5727,1.4265,0.8481,0,4.17,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
45693,66,"mae_pen",0,1,1,1,0,0,36.8968,0.6806,0.9245,0,4.3,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
35686,218,"mae_pen",1,0,0,1,0,0,12.2984,1.0336,0.9149,0,29.98,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
20668,69,"huber_pen",0,1,1,0,0,2,11.2517,0.2006,0.842,0,11.63,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
44151,69,"mae_pen",0,1,0,0,0,0,69.2086,6.7873,0.0,0,1.27,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
836,918,"ridge_pen",2,1,2,1,1,1,0.5757,0.3025,0.7065,0,239.58,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
19500,69,"huber_pen",0,1,2,0,0,0,24.2306,0.57,1.6655,0,21.22,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
19097,69,"mae_pen",0,1,0,0,0,0,37.6936,0.6822,0.0,0,1.46,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
24701,224,"huber_pen",0,1,1,1,0,0,3.5358,1.0907,0.5537,0,136.62,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
