# provenance: campaign=E sarimax_commit=6e8e0bd sarimax_tree=clean julia=1.9.4 platform=Windows-x86_64 source_file=eixos_6e8e0bd.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: celula,freq,series,p,d,q,P,D,Q,smape,mase,tempo,status
cell,freq,series,p,d,q,P,D,Q,smape,mase,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
"base","weekly",62,2,1,2,0,0,0,2.4171,2.8025,8.47,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",63,4,1,2,0,0,0,2.675,2.5215,8.37,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",64,5,1,1,0,0,0,3.0161,2.0385,6.27,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",65,5,1,1,0,0,0,2.6188,1.9202,5.1,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",66,4,2,1,0,0,0,0.4516,1.1538,6.69,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",67,4,2,3,0,0,0,1.3625,6.1645,7.64,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",68,5,2,1,0,0,0,2.1762,4.8525,1.37,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",69,5,2,2,0,0,0,2.0758,3.6555,1.92,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",70,1,1,1,0,0,0,2.184,1.7133,0.55,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",71,3,1,2,0,0,0,6.5108,0.9687,1.16,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
