# provenance: campaign=B sarimax_commit=not_recorded sarimax_tree=not_recorded julia=not_recorded platform=Windows-x86_64 source_file=objetivos_monthly.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: series,T,celula,p,d,q,P,D,Q,smape,mase,max_coef,prev_neg,tempo,status
series,T,cell,p,d,q,P,D,Q,smape,mase,max_coef,forecast_negative,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
24369,334,"huber",2,0,2,2,1,1,8.0537,1.0493,0.8416,0,12.78,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
43717,181,"huber",0,2,1,0,0,0,7.2166,0.3748,0.9511,0,2.03,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
18441,79,"mse",0,1,1,0,0,2,14.9257,0.6522,0.7715,0,3.5,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
7961,69,"ridge",0,1,0,0,1,1,24.4019,0.5653,0.2947,0,0.21,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
47925,134,"mae",0,0,3,0,1,1,0.9105,0.3156,0.8077,0,2.94,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
9331,69,"mse",2,1,2,0,0,1,18.2015,0.4031,1.3138,0,5.92,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
12177,306,"mse_zeroed",2,1,1,0,1,2,0.715,0.3514,0.5856,0,2.75,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
2676,233,"mse_zeroed",1,1,0,2,0,0,1.7287,0.7855,0.2448,0,0.88,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
22526,306,"mse",1,1,0,0,1,1,0.7532,0.2457,0.4255,0,18.18,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
39222,149,"mse_zeroed",0,1,0,0,0,0,5.8385,0.3742,0.0,0,0.34,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
45852,66,"huber",2,1,0,0,0,0,18.9905,0.57,0.4529,0,1.18,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
18008,69,"mse_zeroed",0,1,0,0,1,1,37.6867,0.7479,0.4464,0,0.29,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
24632,334,"mse",1,1,1,0,0,2,7.3787,1.3722,0.845,0,85.04,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
17980,69,"ridge",0,1,1,0,0,0,23.6936,0.5,0.2461,0,0.47,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
37242,669,"mae",4,1,0,0,0,0,3.1261,1.4397,0.4226,0,15.08,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
28121,234,"mae",0,1,0,0,0,0,3.8701,1.7598,0.0,0,1.33,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
19768,69,"mae",1,1,1,1,0,0,17.5406,0.4997,0.9809,0,1.51,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
43977,69,"mse_zeroed",1,1,0,0,1,1,2.082,0.5012,0.2771,0,0.33,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
40126,214,"huber",1,2,2,1,0,0,1.262,0.2401,0.9185,0,6.03,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
42210,74,"mae",2,2,1,0,0,0,2.6388,0.4548,0.8879,0,0.95,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
8576,104,"mae",3,1,0,0,0,0,11.4891,1.227,1.2759,0,3.24,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
