date;NROU
1949-01-01;5.2550525665283200
1949-04-01;5.2615156173706100
1949-07-01;5.2680130000000000
1949-10-01;5.2745640000000000
1950-01-01;5.2811820000000000
1950-04-01;5.2878660000000000
1950-07-01;5.2946040000000000
1950-10-01;5.3013670000000000
1951-01-01;5.3081130000000000
1951-04-01;5.3147890000000000
1951-07-01;5.3213334083557100
1951-10-01;5.3276824951171900
1952-01-01;5.3337740000000000
1952-04-01;5.3395550000000000
1952-07-01;5.3449854850769000
1952-10-01;5.3500404357910200
1953-01-01;5.3547130000000000
1953-04-01;5.3590116500854500
1953-07-01;5.3629580000000000
1953-10-01;5.3665823936462400
1954-01-01;5.3699220000000000
1954-04-01;5.3730144500732400
1954-07-01;5.3759020000000000
1954-10-01;5.3786240000000000
1955-01-01;5.3812200000000000
1955-04-01;5.3837250000000000
1955-07-01;5.3861710000000000
1955-10-01;5.3885860000000000
1956-01-01;5.3909964561462400
1956-04-01;5.3934300000000000
1956-07-01;5.3959170000000000
1956-10-01;5.3984930000000000
1957-01-01;5.4011983871460000
1957-04-01;5.4040803909301800
1957-07-01;5.4071846008300800
1957-10-01;5.4105580000000000
1958-01-01;5.4142403602600100
1958-04-01;5.4182660000000000
1958-07-01;5.4226584434509300
1958-10-01;5.4274290000000000
1959-01-01;5.4325766563415500
1959-04-01;5.4380855560302700
1959-07-01;5.4439270000000000
1959-10-01;5.4500640000000000
1960-01-01;5.4564523696899400
1960-04-01;5.4630510000000000
1960-07-01;5.4698295593261700
1960-10-01;5.4767700000000000
1961-01-01;5.4838750000000000
1961-04-01;5.4911650000000000
1961-07-01;5.4986753463745100
1961-10-01;5.5064554214477500
1962-01-01;5.5145590000000000
1962-04-01;5.5230420000000000
1962-07-01;5.5319504737854000
1962-10-01;5.5413240000000000
1963-01-01;5.5511880000000000
1963-04-01;5.5615520000000000
1963-07-01;5.5724110000000000
1963-10-01;5.5837473869323700
1964-01-01;5.5955276489257800
1964-04-01;5.6077060000000000
1964-07-01;5.6202225685119600
1964-10-01;5.6330070000000000
1965-01-01;5.6459770000000000
1965-04-01;5.6590440000000000
1965-07-01;5.6721160000000000
1965-10-01;5.6851050000000000
1966-01-01;5.6979300000000000
1966-04-01;5.7105290000000000
1966-07-01;5.7228610000000000
1966-10-01;5.7349150000000000
1967-01-01;5.7467040000000000
1967-04-01;5.7582700000000000
1967-07-01;5.7696720000000000
1967-10-01;5.7809840000000000
1968-01-01;5.7922860000000000
1968-04-01;5.8036584854126000
1968-07-01;5.8151755332946800
1968-10-01;5.8269050000000000
1969-01-01;5.8389010000000000
1969-04-01;5.8512096405029300
1969-07-01;5.8638640000000000
1969-10-01;5.8768880000000000
1970-01-01;5.8902983665466300
1970-04-01;5.9041000000000000
1970-07-01;5.9182920000000000
1970-10-01;5.9328610000000000
1971-01-01;5.9477820000000000
1971-04-01;5.9630160000000000
1971-07-01;5.9785056114196800
1971-10-01;5.9941770000000000
1972-01-01;6.0099400000000000
1972-04-01;6.0256905555725100
1972-07-01;6.0413170000000000
1972-10-01;6.0567060000000000
1973-01-01;6.0717453956604000
1973-04-01;6.0863350000000000
1973-07-01;6.1003866195678700
1973-10-01;6.1138305664062500
1974-01-01;6.1266164779663100
1974-04-01;6.1387150000000000
1974-07-01;6.1501145362854000
1974-10-01;6.1608195304870600
1975-01-01;6.1708440000000000
1975-04-01;6.1802090000000000
1975-07-01;6.1889340000000000
1975-10-01;6.1970324516296400
1976-01-01;6.2045090000000000
1976-04-01;6.2113580000000000
1976-07-01;6.2175630000000000
1976-10-01;6.2230990000000000
1977-01-01;6.2279310000000000
1977-04-01;6.2320165634155300
1977-07-01;6.2353090000000000
1977-10-01;6.2377570000000000
1978-01-01;6.2393110000000000
1978-04-01;6.2399270000000000
1978-07-01;6.2395744323730500
1978-10-01;6.2382345199585000
1979-01-01;6.2359094619751000
1979-04-01;6.2326170000000000
1979-07-01;6.2283935546875000
1979-10-01;6.2232900000000000
1980-01-01;6.2173705101013200
1980-04-01;6.2107090000000000
1980-07-01;6.2033880000000000
1980-10-01;6.1954956054687500
1981-01-01;6.1871230000000000
1981-04-01;6.1783614158630400
1981-07-01;6.1693024635314900
1981-10-01;6.1600310000000000
1982-01-01;6.1506270000000000
1982-04-01;6.1411595344543500
1982-07-01;6.1316870000000000
